accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
-0.6500,-3.7843,1.6262,-79.3457,167.3584,289.3677,shake
-0.0013,2.8795,-1.7830,118.4692,-252.0141,-556.6406,shake
-1.1333,-2.2350,1.5038,-118.2861,322.6928,502.5634,shake
0.0220,-0.7579,0.3656,-9.2773,-154.7241,-372.5586,shake
0.0956,2.8534,-1.5334,-0.1831,-17.0898,-113.9526,shake
-1.1379,-3.8877,1.5094,-127.1973,210.9985,503.1128,shake
0.0908,1.4467,-0.5276,89.4165,-203.1860,-572.5708,shake
1.0060,-1.1265,0.9926,-62.7441,-20.2637,-9.9487,shake
0.1515,0.3892,-0.4646,-6.8359,-222.3511,-217.6514,shake
-0.9552,0.9558,-0.2867,20.5688,278.4424,237.4878,shake
-0.4209,-3.2111,1.3547,-107.8491,43.2129,66.0400,shake
-0.4209,-3.2111,1.3547,-107.8491,43.2129,66.0400,shake
-0.7009,0.8325,-0.1923,7.2021,230.5908,329.5288,shake
-0.4845,-3.0599,1.0875,-87.3413,15.5640,41.3818,shake
-0.0323,3.0521,-1.9690,149.1699,-210.6933,-526.1230,shake
-0.4928,0.7168,-0.1913,9.8877,222.3511,308.8379,shake
-0.0693,-0.7540,0.4436,18.2495,-157.7759,-384.8266,shake
-0.2823,2.7729,-2.3499,154.8462,-62.6221,-164.2456,shake
-0.8806,-2.4362,1.4984,-182.8613,446.6552,622.4365,shake
0.1046,1.6980,-0.8060,142.0288,-252.6855,-562.3779,shake
-0.1899,2.2684,-1.8713,116.1499,-31.7993,-56.0913,shake
-0.5623,-3.9039,1.4716,-181.9458,232.6660,397.5219,shake
0.2838,1.2653,-0.4485,162.9639,-214.2944,-423.0346,shake
-0.4745,0.5306,-0.4340,-14.5264,219.7265,260.9863,shake
-0.1793,-3.0585,0.9260,-96.6186,60.7300,64.6973,shake
0.4708,2.1698,-0.7261,93.8110,-181.9458,-417.6635,shake
-0.3749,-1.0778,0.3282,-81.9092,138.4277,481.6284,shake
0.4929,1.3522,-0.9153,93.3227,-88.0737,-251.1597,shake
0.0206,0.0503,0.5073,56.1523,217.7734,296.8750,shake
0.3854,-2.8538,0.9374,-52.0019,-25.7568,57.1899,shake
0.3854,-2.8538,0.9374,-52.0019,-25.7568,57.1899,shake
-0.3473,1.8629,-0.9733,87.6465,89.5996,36.3770,shake
0.0580,-3.5778,1.3298,-111.5112,122.8027,270.7520,shake
0.0435,1.7067,-0.7130,15.8081,-207.2754,-449.0966,shake
-0.1346,0.1672,0.1328,6.9580,183.6548,330.4443,shake
0.5110,-3.7191,1.6913,-7.0801,109.6802,328.6133,shake
-0.4214,2.5111,-1.9758,32.4097,-177.9785,-343.6279,shake
-0.2308,0.2350,-0.2245,-21.8506,254.5776,463.1958,shake
0.8104,-2.7755,1.2319,-6.9580,-18.0054,-28.5645,shake
-0.4044,2.4249,-2.1697,51.6968,6.2866,-200.5005,shake
0.0900,-0.8047,0.8678,-63.5986,267.8223,402.5268,shake
0.8423,-1.9009,1.0575,-31.1279,-42.8467,-124.5727,shake
-0.4447,2.1426,-2.0310,174.3774,-101.1963,-402.5879,shake
0.5112,-1.7203,1.0463,-221.6797,216.4917,495.5444,shake
0.5840,-0.5839,0.3425,40.6494,-105.8350,-312.6221,shake
-0.3014,2.2607,-1.6753,150.3906,12.1460,-187.9883,shake
0.7533,-3.2946,1.5055,-161.8042,161.4990,495.8496,shake
0.8251,-0.1754,0.0195,-30.3345,-9.0942,27.7100,shake
0.8340,-1.4060,0.5959,-116.3330,-60.3638,-88.8672,shake
-0.4800,2.7344,-1.8121,192.3828,-17.0898,-283.0811,shake
-0.4800,2.7344,-1.8121,192.3828,-17.0898,-283.0811,shake
0.7512,-2.3066,0.9530,-48.3398,-73.2422,-134.0332,shake
-0.5414,1.8064,-0.8120,205.8105,-107.7881,-387.2680,shake
0.2131,-2.5397,1.3635,-216.6138,316.6504,537.2314,shake
0.2690,-0.0714,0.3358,98.2666,-161.8042,-383.3618,shake
-0.4521,2.1664,-2.0040,265.8081,-142.9443,-434.3872,shake
0.9767,-3.1671,0.4934,-427.6733,26.9165,510.6201,shake
0.6450,-0.7971,-0.0710,181.8237,-63.5376,-431.2744,shake
-0.3496,2.0369,-1.8379,327.2705,81.7871,-292.2363,shake
1.4094,-2.8922,1.8755,-147.9492,21.4844,188.6597,shake
0.2537,0.6692,-0.0192,76.8433,-248.4741,-317.7490,shake
-0.1523,1.0146,-1.3907,114.5019,91.3696,-69.4580,shake
1.6432,-2.3030,1.7939,-12.4512,-145.3857,-103.5767,shake
-0.3514,1.0199,-1.4358,140.9912,-239.0747,-325.9887,shake
0.0084,-0.7916,0.3031,-165.8325,265.5029,352.9663,shake
1.1465,-1.2621,0.6846,-20.0806,-105.8350,-152.4658,shake
-0.8054,2.0092,-2.1462,184.0820,-75.8057,-333.8012,shake
-0.0098,0.4258,-0.4288,-43.5791,-308.6548,-310.4248,shake
